SP ID,Work Experience/Designation,Education/Qualifications,Education/Specialization
590874.0,['Caretaker'],['Bachelor of Arts (B.A.)'],"['Human Resource Management, Annamalai University']"
590869.0,"['Sr engineer', 'Sr engineer', 'Sr engineer']",['Bachelor of Technology (B.Tech)'],['Civil engineering']
590815.0,['NA'],['Bachelor of Science (B.Sc)'],['Information Technology']
590800.0,['NA'],['Master of Business Administration (M.B.A.)'],['International Business']
590749.0,['Software Engineer Analyst'],['Bachelor of Engineering (B.E.)'],['Computer Science']
590717.0,"['Trek and Tour Leader', 'Intern', 'Volunteer']","['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)', 'Other']","['NA', 'Applied for Basic Mountaineering Course']"
590714.0,"['Head - North, Northeast India', 'Assistant Consultant']","['Postgraduate', 'Other', 'Other']","['CA', 'Mountaineering', 'Paragliding - Certified Solo Pilot']"
590537.0,"['Teaching Assistant', 'Teaching Assistant']",['Bachelor of Architecture (B.Arch)'],['NA']
590494.0,"['Regional Content Writer', 'Volunteer']",['Master of Business Administration (M.B.A.)'],['Finance']
590423.0,['NA'],['Bachelor of Science (B.Sc)'],['Data Science']
590417.0,['Mechanical Design engineer'],['Bachelor of Technology (B.Tech)'],['Mechanical engineering']
590321.0,"['Assistant Manager', 'Architectural Technologist', 'Teacher']","['Master of Architecture (M. Arch)', 'Other']","['NA', 'Second Year Vocal Classical']"
590295.0,['Senior Territory Manager'],['Bachelor of Engineering (B.E.)'],['Agriculture']
590114.0,"['Marketing executive', 'Teacher']",['Bachelor of Technology (B.Tech)'],['NA']
590110.0,"['Sales Leader', 'Sales Leader', 'Sales Leader']",['NA'],['NA']
590058.0,"['Counsellor Linkage Officer', 'Administration Clerk']",['NA'],['NA']
589958.0,"['Kayak Guide', 'Animal Keeper', 'Actor and Tour Guide', ""Teacher's Aide""]","['Bachelor of Science (B.Sc)', 'HSC/12', 'Other']","['Zoology', 'Adventure Guiding Certificate III']"
589908.0,['NA'],['Bachelor of Arts (B.A.)'],['NA']
589899.0,['As a designer and stylist'],['Bachelor of Arts (B.A.)'],['Fashion Designing']
589761.0,['NA'],['Bachelor of Engineering (B.E.)'],['Computer science']
589734.0,"['Lab technician', 'Technical Officer']",['Master of Science (M.Sc)'],['Biotechnology']
589657.0,"['Junior 2D artist', 'Junior 2D artist']",['Bachelor of Fine Arts (B.F.A.)'],['Applied Art']
589530.0,['NA'],['HSC/12'],['Arts']
589386.0,"['Senior Software Engineer', 'Software Engineer', 'Trainee Software Engineer']","['SSLC/10', 'HSC/12', 'Bachelor of Engineering (B.E.)']","['NA', 'PCMB', 'Electronics and Communications']"
589316.0,['Project engineer'],['Bachelor of Engineering (B.E.)'],['Mechanical']
589221.0,"['embedded OS developer', 'Linux kernel developer', 'associate embedded developer']",['Bachelor of Technology (B.Tech)'],['electronics and computer science']
589196.0,"['Software Engineering Analyst', 'Intern', 'Lecturer', 'Teaching Assistant']",['Master of Engineering (M.E.)'],['C.S.E']
588996.0,['NA'],['Master of Commerce (M.Com)'],['Finance']
588952.0,"['Senior Research Analyst', 'Teacher']",['Master of Arts (M.A.)'],['NA']
588841.0,"['Assistant Manager', 'Assistant Manager']","['Bachelor of Commerce (B.Com)', 'Postgraduate', 'Postgraduate']","['Finance and Accounts', 'Finance Accounts and Taxation', 'Company Law']"
588760.0,['House physician'],['Bachelor of Homeopathic Medicine & Surgery (B.H.M.S.)'],['NA']
588717.0,"['Senior Systems Engineer', 'Associate Product Manager']",['Bachelor of Engineering (B.E.)'],['Computer Science and engineering']
588698.0,['NA'],['Bachelor of Commerce (B.Com)'],['NA']
588649.0,['Owner'],['NA'],['NA']
588630.0,"['HR', 'Assistant Manager', 'Customer Service Specialist', 'HR']",['Diploma'],['Business Administration']
588559.0,['NA'],['Bachelor of Dental Science (B.D.S.)'],['NA']
588422.0,['Associate'],['Master of Business Administration (M.B.A.)'],['Finance']
588389.0,['NA'],['Other'],['Information science']
588371.0,"['Postdoctoral Fellow', 'Postdoctoral Fellow']","['Ph.D', 'Master of Science (M.Sc)', 'Bachelor of Science (B.Sc)']","['Chemistry', 'Chemical Sciences', 'Chemistry']"
588346.0,['NA'],['Bachelor of Science (B.Sc)'],['No specialization']
588305.0,"['Manager', 'Lead - HR', 'Executive', 'Consultant']","['Master of Business Administration (M.B.A.)', 'Bachelor - Other']","['HR', 'Commerce & Administration']"
588245.0,['General Manager'],['Bachelor of Business Administration (B.B.A.)'],['Marketing']
588197.0,['NA'],['Bachelor of Technology (B.Tech)'],['Computer Science']
588165.0,"['Senior vendor operations associate', 'Category Associate', 'Senior Travel Consultant']","['Master of Arts (M.A.)', 'Bachelor of Arts (B.A.)', 'Diploma']","['Public Administration', 'Airlines, Tourism and hospitality']"
588140.0,"['Senior MS Security Engineer', 'cybersecurity engineer']","['Bachelor of Computer Application (B.C.A.)', 'Diploma']","['Security', 'Industrial Electronics']"
588082.0,"['Production Operative', 'Finance credit controller', 'Operation Accountant', 'Research analyst']","['Master - Other', 'Master of Business Administration (M.B.A.)', 'Bachelor of Commerce (B.Com)']","['Project management', 'Finance', 'Accounting']"
587979.0,['NA'],['Bachelor of Technology (B.Tech)'],['Computer']
587912.0,"['Stagiaire', 'Assistant surveyor']",['Other'],['Pharmacy']
587798.0,"['C0-founder', 'Print Production Manager', 'Mac operator']",['Diploma'],['Printing Technology']
587782.0,['NA'],['Diploma'],"['Special education,']"
587710.0,['NA'],['Bachelor of Architecture (B.Arch)'],['NA']
587693.0,['NA'],['Other'],['NA']
587629.0,"['Product Manager', 'Product Manager- Investment']",['Master of Business Administration (M.B.A.)'],['Finance']
587424.0,"['PGT-Fine arts', 'TGT-Fine arts', 'TGT-Fine arts']",['Master of Arts (M.A.)'],['Painting']
587263.0,['Operating engineer'],['Bachelor of Engineering (B.E.)'],['Mechanical']
587255.0,['Los Angeles Airport Tom Bradley International Terminal'],['Diploma'],['Public School']
587045.0,"['Avinashi Rd, Coimbatore']",['Bachelor - Other'],"['Media and Art work, Script writing on stories']"
586963.0,"['Product Owner, Architect', 'Tech Lead']","['Master of Computer Application (M.C.A.)', 'Bachelor of Science (B.Sc)']","['NA', 'Physics']"
586846.0,['Assistant'],['Bachelor of Commerce (B.Com)'],['Commerce']
586836.0,['Associate'],['Bachelor of Science (B.Sc)'],['Hospitality Studies']
586791.0,['NA'],"['Bachelor - Other', 'Bachelor of Engineering (B.E.)']","['Clinical Nutrition and Dietetics', 'Information Technology']"
586771.0,"['DevOps Engineer', 'DevOps Engineer']",['Master of Computer Application (M.C.A.)'],['Networking']
586765.0,['NA'],['HSC/12'],['NA']
586713.0,['Specified site engineer'],['Bachelor of Technology (B.Tech)'],['Civil engineer']
586618.0,['Senior Analyst'],['Master - Other'],['Public Policy']
586616.0,['Programmer Analyst'],['Bachelor of Technology (B.Tech)'],['Computer science']
586599.0,"['HR executive', 'HR executive', 'HR executive']",['Master of Business Administration (M.B.A.)'],['Human resources']
586501.0,['Software Developer II'],['Bachelor of Technology (B.Tech)'],['Computer Science']
586486.0,['Md senior resident'],['Doctor of Medicine (M.D.)'],['Radiologist']
586430.0,"['Datamanager', 'IT Automationmanagment']",['Undergraduate'],['IT / Multimedia']
586406.0,['Operations and Sales manager'],['Bachelor of Arts (B.A.)'],['BA programming']
586300.0,['Sr oracle database administrator'],['Master of Computer Application (M.C.A.)'],['computer and information science']
586289.0,"['Technical Support Engineer', 'Post doctoral researcher', 'Research and Teaching Assistant']",['Ph.D'],['Electrical Engineering (Nanophotonics)']
586170.0,['Freelance'],['NA'],['NA']
586129.0,"['Specialist', 'Mobility Head']",['Bachelor of Engineering (B.E.)'],['Computer science']
586127.0,"['Lighting Artist', 'look developement and shading artist', 'KeyLight Artist', 'Lighting Technical Director']",['Bachelor - Other'],['AAIP VFX']
586070.0,"['Senior Associate', 'Sales Executive']",['NA'],['NA']
585958.0,"['Senior Staff Software Engineer', 'Senior Software Engineering', 'Software Engineering', 'Software Engineer', 'Senior Staff Software Engineer']","['Master of Science (M.Sc)', 'Bachelor of Engineering (B.E.)']","['Embedded/Computer Engineering', 'Electronics and COmmunication']"
585932.0,['Office work'],['Diploma'],['Electronics']
585923.0,['NA'],['Bachelor of Arts (B.A.)'],['Sanskrit']
585922.0,"['Shopkeeper', 'Bawarchi and shopkeeper', 'Cake decorator', 'Electrician', 'Teacher', 'Shuttering Carpenter and steel fitter', 'Farmer']",['HSC/12'],['science']
585879.0,"['Custom software analyst', 'Senior analyst']",['Bachelor of Technology (B.Tech)'],['ECE']
585816.0,"['Assistant profesor', 'Pshychoterapy', 'Part time Assistant reaserch']","['Bachelor - Other', 'Postgraduate', 'Master - Other']","['Regional Economics', 'Psychoanalysisis', 'Social Spatial Planning']"
585756.0,"['Model', 'Trainee Pilot']",['Other'],['NA']
585725.0,"['Content creator', 'Content creator', 'Content creator']",['Bachelor of Science (B.Sc)'],['Computer science']
585691.0,"['Business Analyst', 'Customer innovation lead']","['Master of Business Administration (M.B.A.)', 'Bachelor of Engineering (B.E.)']","['Finance Marketing', 'Civil engineering']"
585675.0,['NA'],['Undergraduate'],['BSC (geology)']
585655.0,"['Student counciler / TL', 'Accountant']",['Master of Commerce (M.Com)'],['Accounts']
585650.0,"['Technical Support Engineer', 'Associate Network Engineer', 'Consultant', 'Senior Operations Professional']",['Bachelor of Engineering (B.E.)'],['Electronics and Communications']
585611.0,['NA'],['NA'],['NA']
585512.0,['NA'],['HSC/12'],['NA']
585496.0,['Reporter'],['Master - Other'],['Journalism And Mass communication']
585486.0,['NA'],['Postgraduate'],['NA']
585450.0,['Software Engineer'],['Bachelor of Engineering (B.E.)'],['Information Science']
585428.0,"['Senior Account Analyst', 'Associate']",['Diploma'],['Graphic']
585424.0,"['Mechanical Engineer', 'Partner']",['Bachelor of Engineering (B.E.)'],['Mechanical engineering']
585418.0,['Guest lecturer'],['Master of Science (M.Sc)'],['Physics']
585410.0,['NA'],['NA'],['NA']
585403.0,"['Data entry operator', 'Emergency care']",['Bachelor of Commerce (B.Com)'],['Commerce']
585366.0,"['Business Administration', 'founder and operator']",['Master of Business Administration (M.B.A.)'],['finance']
585362.0,"['Consultant', 'Consultant']",['Bachelor of Engineering (B.E.)'],['ECE- electronics']
585346.0,"['Vice President', 'Branch manager']",['Bachelor of Arts (B.A.)'],['English literature']
585338.0,"['Accountant', 'Accountant']","['Bachelor of Commerce (B.Com)', 'Other']","['Finances', 'Cost and management accountant']"
585307.0,"['Assistant Data Engineer', 'Assistant professor']",['Master of Technology (M.Tech)'],['instrumentation and control system']
585299.0,['NA'],['Bachelor of Arts (B.A.)'],['Psychology']
585287.0,['Area business 6'],['Bachelor of Commerce (B.Com)'],['NA']
585278.0,"['Partner', 'Associate']",['Bachelor - Other'],['Bachelor of Town & Country Planning']
585260.0,['TSO'],['Bachelor of Computer Application (B.C.A.)'],['Computers']
585257.0,"['Analyst', 'Analyst']",['Master of Science (M.Sc)'],['Financial Economics']
585232.0,"['Intern Doctor', 'Science educator', 'Editorial team member and Medical content writer']","['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)', 'Other']","['NA', 'Bharatanatyam, learning since the past 18 years. Arangetram -2013']"
585196.0,"['Manager', 'Associate']",['Bachelor of Engineering (B.E.)'],['Electronics and Telecommunications']
585164.0,"['Principal Business Development', 'Business Manager']",['Master of Business Administration (M.B.A.)'],['Marketing']
585163.0,['NA'],['Bachelor of Science (B.Sc)'],['Maths physics chemistry']
585065.0,['NA'],['Master of Business Administration (M.B.A.)'],['Finance and marketing']
585059.0,['Marketing head'],['NA'],['NA']
585044.0,['Planning Assistant'],['Bachelor of Technology (B.Tech)'],['Civil Engineering']
585028.0,['NA'],['Bachelor of Technology (B.Tech)'],['Electrical & Electronic Engineering']
585016.0,['NA'],['Other'],"['Mathematics, Physics & Chemistry']"
585014.0,['NA'],['HSC/12'],['NA']
585012.0,"['Started from middle rung supervision and management and oversaw planning and execution of multiple construction and real estate projects.Also was involved in moneylending and finance.', 'Derivatives Trader.']",['HSC/12'],['Biology physics chemistry']
585009.0,['Analyst/software developer'],['Bachelor of Technology (B.Tech)'],['NA']
584983.0,['NA'],['Bachelor of Arts (B.A.)'],['Cooperation']
584970.0,['Sr Manager - IT'],['Postgraduate'],['Client Relationship Management']
584948.0,['NA'],['Undergraduate'],['Constitutional Law']
584939.0,"['Assistant Manager', 'Articled Assistant', 'Intern', 'Self employed']",['Bachelor of Commerce (B.Com)'],['NA']
584851.0,['Senior Application Developer'],['Bachelor of Engineering (B.E.)'],['Computer Science']
584830.0,['Officer 5'],['Master of Arts (M.A.)'],['Hindi']
584754.0,['Milk collection center manager'],['Bachelor of Arts (B.A.)'],['NA']
584726.0,"['Assistant Process Manager', 'Assistant Process Manager']",['Bachelor - Other'],['Human Resource']
584655.0,"['Commodity research Analyst', 'Analyst', 'Back office Assistant']",['Bachelor - Other'],['Information technology']
584653.0,"['Software Development Specialist', 'Software Development Specialist']",['Master of Technology (M.Tech)'],['Scientific Computation']
584636.0,['NA'],['Bachelor of Commerce (B.Com)'],['Computer Applications']
584541.0,['Architect'],['Bachelor of Architecture (B.Arch)'],['Interior Design']
584531.0,"['Manager', 'Project executive']",['Bachelor of Engineering (B.E.)'],['Mechanical engineering']
584528.0,['Data engineer'],['Bachelor of Engineering (B.E.)'],['Electronics and communication']
584525.0,['NA'],['NA'],['NA']
584472.0,['Executive- projects & services'],['Diploma'],['NA']
584431.0,['NA'],['Bachelor of Engineering (B.E.)'],['Electrical and Electronics engineering']
584393.0,['NA'],['Other'],['NA']
584390.0,"['Online reputation management and Serach Engine Optimization Executive', 'Online reputation management and Serach Engine Optimization Executive']",['Bachelor of Technology (B.Tech)'],['NA']
584389.0,"['research and development', 'German Teacher', 'oil and acrylic painting teacher', 'assistant', 'carpenter']",['Bachelor - Other'],['psychology']
584350.0,['NA'],['Bachelor of Commerce (B.Com)'],['NA']
584340.0,"['senior physical design engineer', 'physical design engineer']",['Bachelor of Engineering (B.E.)'],['electronics and communication']
584336.0,['NA'],['NA'],['NA']
584311.0,"['Mathematics Teacher', 'Mathematics Teacher']",['Bachelor of Technology (B.Tech)'],['Environmental Science']
584293.0,"['Accounts Executive', 'Accounts Executive']",['Bachelor of Commerce (B.Com)'],['NA']
584290.0,['NA'],['NA'],['NA']
584261.0,"['Front-end engineers', 'Product manager', 'IT support and participants support']",['Bachelor of Education (B.Ed.)'],['NA']
584258.0,['NA'],['Master of Science (M.Sc)'],['Maths']
584216.0,['NA'],['Bachelor of Engineering (B.E.)'],['Mechanical engineering']
584204.0,"['English and Spanish Tutor', 'Teacher English and Spanish as a Second Language', 'English and Spanish as a Second Language Tutor']","['Bachelor of Arts (B.A.)', 'Postgraduate']","['Humanities, Education languages', 'Creating wirting']"
584199.0,['Trust and safety associate'],['Bachelor - Other'],['Computer science engineering']
584186.0,"['Counselor', 'Teacher']",['Bachelor of Education (B.Ed.)'],['Physics & Mathemetics']
584157.0,"['Senior Clinical Research Associate', 'Clinical Research Associate', 'Project Assistant', 'Clinical Research Coordinator']",['Bachelor of Engineering (B.E.)'],['Pharmaceutical Engineering']
584133.0,"['Home Carer', 'Waitress', 'Chef the partie/Line Chef']","['Other', 'Other']","['NQ Professional Cookery', 'NC General Catering & Hospitality']"
584102.0,"['Vice President', 'Manager', 'Specialist']","['Other', 'Bachelor of Commerce (B.Com)']",['Chartered Accountant']
584085.0,['Project Assistant'],"['SSLC/10', 'Diploma', 'Bachelor of Arts (B.A.)', 'Master of Arts (M.A.)']",['NA']
584084.0,"['Receptionist', 'Receptionist']",['HSC/12'],['NA']
584063.0,['Affiliate manager'],['Postgraduate'],['Accounts']
584032.0,['DevOps Engineer'],['Bachelor of Engineering (B.E.)'],['Electronics and Communication Engineering.']
584016.0,"['Manager', 'Assistant Manager', 'Lead Associate', 'Manager']",['Bachelor of Technology (B.Tech)'],['Information Technology']
583984.0,['Senior system Engineer'],['Bachelor of Technology (B.Tech)'],['Information Technology']
583956.0,"['Consultant medical officer', 'ICU duty doctor', 'Emergency medical officer', 'Consultant', 'Medical officer', 'Medical officer', 'Resident doctor', 'Consultant medical officer']",['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)'],['General practice']
583947.0,"['Regional Manager, Principal Consulting Psychologist - Clinical & Organisational Psychology', 'Associate Researcher', 'School Psychologist', 'Provisional Psychologist - Education & Development', 'Research Assistant - Young People in Out-of-Home Care, Trauma & Neglect', 'Provisional Psychologist - Child & Adolescent', 'Provisional Psychologist - Education & Development', 'Associate Researcher - Childhood Abuse & Neglect, Early Education', 'Academic Tutor', 'Talent & Organisational Psychology Consultant', 'Youth Carer/Volunteer', 'Regional Manager, Principal Consulting Psychologist - Clinical & Organisational Psychology']","['Master - Other', 'Postgraduate', 'Postgraduate', 'Bachelor of Arts (B.A.)', 'Diploma']","['Developmental Psychology', 'Organisational Psychology', 'Psychology', 'Psychology, Sociology and Philosophy', 'Liberal Arts']"
583937.0,['Sr.Manager'],"['Bachelor of Business Administration (B.B.A.)', 'Master of Business Administration (M.B.A.)']","['NA', 'Marketing and HR']"
583860.0,['NA'],['Bachelor - Other'],['Agriculture']
583841.0,"['Assistant Manager', 'Business Operations Specialist']","['Bachelor of Technology (B.Tech)', 'SSLC/10']",['Information Technology']
583829.0,"['Registered Nurse', 'Registered Nurse', 'Nursing Tutor', 'Healthcare Assistance', 'Health care assistance']","['Bachelor of Science (B.Sc)', 'Master of Science (M.Sc)']","['Nursing', 'Healthcare leadership']"
583777.0,['Consultant'],['Bachelor - Other'],['Electronics and Telecommunication Engineering']
583767.0,['Teacher'],['Master of Science (M.Sc)'],['Physics']
583730.0,"['Senior software engineer', 'Software engineer']",['Bachelor of Technology (B.Tech)'],['Electrical and electronics']
583708.0,['RFO'],['Bachelor of Science (B.Sc)'],['Forestry']
583691.0,['NA'],['Bachelor of Commerce (B.Com)'],['Computer Applications']
583662.0,['Doctor'],['Doctor of Medicine (M.D.)'],['Radiology']
583621.0,['NA'],"['Master of Arts (M.A.)', 'Bachelor of Business Administration (B.B.A.)']","['JAINOLOGY', 'Correspondence']"
583614.0,['NA'],['SSLC/10'],['NA']
583601.0,['NA'],['NA'],['NA']
583588.0,['Teacher'],['Bachelor of Education (B.Ed.)'],['NA']
583583.0,['Senior Resident'],['Doctor of Medicine (M.D.)'],['Pulmonology']
583564.0,['Staff Nurse'],['Diploma'],['GNM Nursing']
583558.0,"['Rock Climbing Instructor', 'Outdoor Instructor', 'Subtitler', 'Digital Compositor/Artist', 'Shef']",['Diploma'],['Audio-Visual Technology']
583547.0,['NA'],['Bachelor of Engineering (B.E.)'],['mechanical engineering']
583503.0,['Software Developer'],['Bachelor of Technology (B.Tech)'],['E.E.E']
583492.0,"['Design soft. trainer', 'Graduate App. trainee', 'Design soft. trainer']","['Bachelor of Engineering (B.E.)', 'Diploma']","['Mechanical Engg', 'Mechanical Engg']"
583426.0,['Tailor'],"['Other', 'Bachelor - Other']","['Tailor', 'Tailor']"
583425.0,"['Stocks Investment Mentor', 'Management of personal and family investments in companies listed on the Colombian stock exchange', 'Evaluation of investment projects in new businesses mainly in the tourism sector', 'Reporting and Corporate Finance Coordinator', 'New Business Coordinator', 'Equity Research Analyst', 'Stocks Investment Mentor']",['Bachelor of Business Administration (B.B.A.)'],['NA']
583344.0,['Manager'],['Undergraduate'],['NA']
583339.0,['Quality Assurance Officer'],"['Master of Business Administration (M.B.A.)', 'Bachelor of Commerce (B.Com)']","['NA', 'Finance/Accounts']"
583322.0,['Production Manager'],['SSLC/10'],['Maths']
583318.0,"['Freelancer', 'Data Analyst Intern']",['Bachelor of Technology (B.Tech)'],['Electrical']
583301.0,['NA'],['Bachelor of Science (B.Sc)'],['B.SC. Honours - Nursing']
583245.0,"['Business Development Manager', 'Scientific Support Executive']","['Master of Business Administration (M.B.A.)', 'Bachelor of Technology (B.Tech)']","['International Business', 'Biotechnology']"
583223.0,['NA'],"['Diploma', 'SSLC/10']",['Web designing and development']
583200.0,['Matinance Technician'],['Bachelor of Computer Application (B.C.A.)'],['Computer Science']
583188.0,"['Web Designer', 'Freelance Web Desginer', 'Premium Services Concierge', 'Pizza Delivery Driver / Merchandiser / Shop Assistant']",['Bachelor - Other'],"['Economics - Economics of Commerce, Tourism and Services']"
583181.0,"['Content Creator ( ongoing Internship)', 'Social Media and Photography Intern']",['Bachelor of Arts (B.A.)'],['Audio-Visual']
583075.0,"['Senior Program Manager', 'Technical Program Manager', 'Project Manager', 'Project Lead', 'Senior Technical Analyst']",['Bachelor - Other'],['Computer Science']
583033.0,"['Teacher', 'Social Science Teacher']",['Bachelor of Science (B.Sc)'],['Chemistry']
582993.0,"['Senior Solution Advisor', 'Treasury Manager']","['Bachelor of Commerce (B.Com)', 'Master - Other']",['NA']
582984.0,"['Economics Educator', 'Junior Executive']","['Bachelor - Other', 'Postgraduate']","['Economics & Finance (Hons)', 'Business Studies']"
582950.0,['NA'],['Diploma'],['NA']
582924.0,['CSA'],['Bachelor - Other'],['Bsc. Medical imaging technology']
582905.0,['Teacher'],['Master of Arts (M.A.)'],['English']
582884.0,"['Waiter & Office Employee', 'Home counselor', 'Waiter']",['Other'],['Hospitality Manager']
582881.0,['NA'],['HSC/12'],['NA']
582869.0,['Agriculture Extension Officer'],['Bachelor of Science (B.Sc)'],['Agriculture']
582866.0,['Graphics Designing'],['Bachelor of Arts (B.A.)'],['English']
582862.0,"['Director', 'Restaurant General Manager']",['Bachelor of Business Management (B.B.M)'],['NA']
582837.0,"['Social Science Teacher', 'Back office Support, Calling activities, Teaching']",['Bachelor of Engineering (B.E.)'],['Mechanical Engineering']
582821.0,['NA'],['Bachelor of Law (B.L. / LLB)'],"['Intellectual Property Rights, Company Law']"
582815.0,"['Office Staff', 'LOSET PROVISION ASSOCIATE']","['Bachelor of Science (B.Sc)', 'Bachelor - Other']","['Acupressure', 'Therapy']"
582809.0,['Design engineer'],['Bachelor of Engineering (B.E.)'],['Mechanical Engg.']
582791.0,"['Marketing Manager', 'Information Technology Support', 'Marketing Manager']",['Bachelor - Other'],['NA']
582771.0,"['PROCESS EXECUTIVE', 'Associate', 'BUSINESS DEVELOPMENT MANAGER']",['Bachelor of Computer Application (B.C.A.)'],['NA']
582738.0,['Quotation analysts'],['Postgraduate'],['Marketing']
582726.0,"['food delivery rider', 'Performer', 'Music teacher', 'media purchasing personnel']",['Bachelor - Other'],['Philosophy']
582711.0,['NA'],['Master - Other'],['Human Development and Counseling']
582702.0,"['Associate', 'Executive Assistant to COO']","['Bachelor of Technology (B.Tech)', 'Master of Business Administration (M.B.A.)']","['Civil Engineering', 'Major - Marketing, Minor - Finance']"
582689.0,['Operations'],['Master of Science (M.Sc)'],['Yogic Sciences']
582664.0,"['Senior Associate', 'Intelligence Analyst', 'Home Tutor']","['Master of Science (M.Sc)', 'Bachelor of Commerce (B.Com)']","['Finance', 'Accounting']"
582626.0,"['picker, order sender', 'Driver', 'Driver', 'Driver', 'order picker', 'trader']",['Other'],['technologist']
582624.0,"['content creator,photo and video creator, assistant, administrator', 'film editor', 'Press service', 'content creator,photo and video creator, assistant, administrator']",['Bachelor of Arts (B.A.)'],['head of an amateur film-photo-video studio']
582608.0,['Chief business sales manager'],['Bachelor of Business Administration (B.B.A.)'],['NA']
582587.0,['Teacher'],['Bachelor of Education (B.Ed.)'],['NA']
582578.0,['NA'],['Bachelor of Science (B.Sc)'],['Physics']
582552.0,"['From helpdesk agent up to Technical programme manager role', 'Deputy team lead -asset management', 'Enterpreneurship']",['Bachelor of Arts (B.A.)'],['Primary school teacher']
582541.0,"['Asst. Professor', 'Project Trainee']","['Master of Technology (M.Tech)', 'Ph.D']","['Thermal Engineering', 'Aerospace Engineering']"
582519.0,['NA'],['Bachelor of Engineering (B.E.)'],['Computer Engineering']
582472.0,"['Customer service associate', 'US recruiter', 'Customer service associate', 'HR Assistant II']","['Master of Arts (M.A.)', 'Bachelor of Engineering (B.E.)']","['Psychology', 'Civil engineering']"
582444.0,"['Trading', 'Bell-Person']",['Diploma'],['Hotel Operations Management']
582413.0,"['Operations Analyst', 'Web Developer Intern']",['Bachelor of Arts (B.A.)'],['Mathematics']
582396.0,['NA'],['Undergraduate'],['NA']
582387.0,"['Tech Lead', 'Principal Engineer', 'Lead Software Development Engineer', 'Module Lead', 'Member Of Technical Staff']",['Bachelor of Engineering (B.E.)'],['IT']
582376.0,"['Indian', 'Indian']",['Master of Arts (M.A.)'],['Psychology']
582331.0,['Admin'],['Master of Commerce (M.Com)'],['Accounts']
582206.0,['Waiter'],['Undergraduate'],['Economics']
582143.0,"['Owner', 'Sr. Account manager', 'Web marketing manager']","['Bachelor of Business Administration (B.B.A.)', 'Bachelor of Science (B.Sc)', 'Master of Business Administration (M.B.A.)']","['NA', 'Chemistry', 'Marketing']"
582091.0,['staff'],['Undergraduate'],['NA']
582074.0,"['Assistant professor', 'Assistant Professor']","['Ph.D', 'Master of Philosophy (M.Phil)', 'Master of Business Administration (M.B.A.)', 'Bachelor of Technology (B.Tech)']","['Human resources management', 'Human resources management', 'HR', 'CSE']"
582047.0,"['Admin', 'Computer Operater', 'Computer Operater']",['Bachelor of Arts (B.A.)'],['Art']
582006.0,['NA'],['Bachelor of Arts (B.A.)'],"['3 major-Psychology, English Literature, and Drawing & Painting']"
581971.0,"['General Medical Assistant', 'General Medical Assistant', 'General Medical Assistant', 'General Medical Assistant', 'General Medical Assistant']",['Postgraduate'],['General Medical assistant']
581964.0,"['710-711,Alap-B, Limda Chowk, Opp. Shastri Medan, Rajkot - 360001.', 'Saputara Monsoon festival Gir monsoon festival, GMDC Navratri festival Ran Mahotsav']",['Bachelor of Fine Arts (B.F.A.)'],['NA']
581963.0,['NA'],['Ph.D'],['Biotechnology']
581962.0,['NA'],['Bachelor of Science (B.Sc)'],['Neuroscience and Medical Anthropology (graduating in May 2024)']
581958.0,['NA'],['Bachelor of Science (B.Sc)'],['NA']
581953.0,"['Assistant Production Incharg', 'Lab chemist']",['Master of Science (M.Sc)'],['BOTANY']
581940.0,"['Senior Software Engineer', 'Member of Technical staff']",['Bachelor of Engineering (B.E.)'],['Computer Science']
581939.0,"['Chef', 'Assist Chef']",['Bachelor of Arts (B.A.)'],['Psychology']
581927.0,"['Architect', 'Deputy General Manager - Architecture', 'Assistant Professor', 'Senior Manager - Projects', 'Associate Architect', 'Manager - Design', 'Architect', 'Junior Architect']","['Master of Architecture (M. Arch)', 'Bachelor of Architecture (B.Arch)']","['Architecture', 'Architecture']"
581913.0,['NA'],"['Bachelor of Engineering (B.E.)', 'HSC/12', 'SSLC/10']","['Computer Engineering', 'PCM', 'PCM']"
581912.0,['NA'],['Bachelor of Technology (B.Tech)'],['Computer Science and Engineering']
581902.0,"['Junior officer', 'Electrical engineer']",['Bachelor of Engineering (B.E.)'],['NA']
581823.0,"['Sr. Data Engineer', 'Data Analyst']",['Bachelor of Technology (B.Tech)'],['Computer Science']
581818.0,"['Professor & Dean', 'Asst, Professor & Controller of Examinations']","['Ph.D', 'Master of Pharmacy (M. Pharma)', 'Other', 'Postgraduate', 'Other']","['Pharmaceutical Science & Technology', 'Pharmacognosy', 'Environmental Management System (EMS) Auditor Certification (International)', 'Value Education', 'Zen Counselling']"
581767.0,['NA'],['HSC/12'],['Mathematics']
581733.0,"['Chef manager', 'interpreter and language support']",['Master of Arts (M.A.)'],['Tourism management']
581695.0,['NA'],['Master of Arts (M.A.)'],['Eng lit']
581688.0,"['Design Head', 'Senior Designer']",['Master of Architecture (M. Arch)'],['Landscape Architect']
581686.0,['Team Lead'],"['Master - Other', 'Other']",['NA']
581677.0,['Assistent manager'],['Bachelor - Other'],['Practical philosophy']
581672.0,"['3d Artist', 'Translator', '3d Artist']",['Master - Other'],['Product design']
