SP ID,Work Experience/Designation,Education/Qualifications,Education/Specialization
603258.0,['Honorary legal advisor'],['Bachelor of Law (B.L. / LLB)'],['NA']
603239.0,"['Design and development', 'Intern, Sr. Executive']","['Diploma', 'Other']","['Fashion design and garment technology', 'Digital marketing']"
603230.0,['Shoot Assist and Video Editing Intern'],['Undergraduate'],['NA']
603224.0,"['Assistant Professor', 'Assistant Professor']","['Master of Science (M.Sc)', 'Bachelor of Science (B.Sc)', 'Ph.D']","['Clinical Nutrition', 'Nutrition, Food Service Management and Dietetics', 'Clinical Nutrition']"
603213.0,"['GIS Analyst', 'Intern']","['Bachelor of Science (B.Sc)', 'Master of Science (M.Sc)']","['Physics', 'Geoinformatics']"
603203.0,['Facebook marketing'],['Bachelor of Engineering (B.E.)'],['Some programming and facebook ads']
603202.0,['NA'],['Diploma'],['Computer']
603193.0,['NA'],['Bachelor of Arts (B.A.)'],['media and communication']
603166.0,['NA'],['Bachelor of Science (B.Sc)'],['Primary degree']
603095.0,['Associate manager'],['Bachelor of Engineering (B.E.)'],['NA']
603085.0,"['Assistant professor', 'Assistant Professor', 'Assistant professor']",['Master of Technology (M.Tech)'],['Food Engineering and Technology']
603069.0,['Research Assistant'],['Bachelor of Arts (B.A.)'],['Neuroscience']
603064.0,['NA'],"['Bachelor of Education (B.Ed.)', 'Master of Science (M.Sc)']",['NA']
603050.0,['NA'],['Bachelor of Arts (B.A.)'],['English']
603030.0,"['Content Writer', 'Content Writer']",['Bachelor of Arts (B.A.)'],['Translation & Interpreting: English-Romanian']
603023.0,['NA'],['Bachelor of Science (B.Sc)'],['NA']
603016.0,['NA'],['HSC/12'],['Mathematics']
603012.0,['Social Media Marketing Manager'],['Bachelor of Commerce (B.Com)'],['Commerce']
603011.0,['Fraud specialist'],['NA'],['NA']
602986.0,['Frontend developer'],['Bachelor of Engineering (B.E.)'],['Electronics and communications']
602975.0,['NA'],['Bachelor of Arts (B.A.)'],['Sociology']
602969.0,"['Supply chain ops associate, buying specialist and sourcing ops']","['Master of Business Administration (M.B.A.)', 'Bachelor of Business Administration (B.B.A.)']","['Logistics management', 'Shipping logistics and port management']"
602961.0,['NA'],['Bachelor of Science (B.Sc)'],['No']
602960.0,['NA'],['Bachelor of Education (B.Ed.)'],['Zoology']
602939.0,"['English Teacher', 'English Teacher']",['Bachelor of Arts (B.A.)'],['English Literature']
602897.0,['NA'],['Bachelor of Law (B.L. / LLB)'],['NA']
602892.0,['NA'],['NA'],['NA']
602881.0,"['Writer and Director', 'Front end developer', 'Coordinator']","['Bachelor of Engineering (B.E.)', 'Other']","['Telecommuication', 'Film writing & Direction']"
602843.0,"['Manager', 'Content Moderator']",['Bachelor of Arts (B.A.)'],['English Studies']
602814.0,['NA'],['NA'],['NA']
602789.0,['NA'],['Master of Arts (M.A.)'],['Linguistics']
602744.0,['Specialist'],['Master - Other'],['Computer']
602700.0,"['Owner', 'Purchase Engineer', 'Purchase Engineer', 'Sr. Engineer purchase', 'Manager material']",['Diploma'],['Mechanical']
602667.0,"['Highway engineer', 'Highway engineer']",['Diploma'],['Civil engineering']
602659.0,['Electro Mechanic'],['SSLC/10'],['NA']
602645.0,['ECU test engineer'],['Master of Science (M.Sc)'],['Electrical Engineering']
602625.0,['Swo(single window operator)'],['Bachelor - Other'],['Computers(BCA)']
602588.0,"['Software Engineer (Google L4 level engineer)', 'Software Engineer', 'Machine Learning Engineer']",['Bachelor of Engineering (B.E.)'],['Electrical and Computer Engineering']
602566.0,['NA'],['HSC/12'],['Art']
602553.0,['NA'],['NA'],['NA']
602523.0,['NA'],['Bachelor - Other'],['Physiotherapy']
602503.0,"['Operations Manager', 'Business Analyst']",['Bachelor of Technology (B.Tech)'],['Electronics and communication']
602493.0,['Interior designer'],['Bachelor - Other'],['Interior designing']
602477.0,"['US Tax Consultant', 'Article trainee']","['Bachelor of Commerce (B.Com)', 'Other']","['Commerce', 'CA-IPCC']"
602472.0,"['Specialist Gynaecologist', 'Consultant gynaecologist']",['Master of Surgery (M.S.)'],['Obstetric and Gynaecology']
602470.0,['NA'],['Bachelor of Engineering (B.E.)'],['E.C.E']
602463.0,['Supervisor'],['HSC/12'],['NA']
602459.0,"['Manager', 'Manager']",['Bachelor of Computer Application (B.C.A.)'],['Coding']
602456.0,['Senior Analyst'],['Bachelor of Technology (B.Tech)'],['Metallurgy']
602450.0,['NA'],['Bachelor of Arts (B.A.)'],['Political science']
602443.0,"['Ritual assistant', 'Diploma in Makeover']",['Other'],['Makeover']
602441.0,"['Postdoctoral Scientist and Group leader', 'Postdoctoral fellow', 'PhD fellow']","['Ph.D', 'Master of Science (M.Sc)']","['Biology (PhD with Highest honor)', 'Biochemistry (Gold Medalist)']"
602431.0,['Research associate'],['Ph.D'],['Engineering biology']
602428.0,"['TGT Teacher', 'TGT Teacher']",['Bachelor of Education (B.Ed.)'],['English and Social Science']
602427.0,"['Bartender', 'Bartender', 'Door Ambassador']",['Diploma'],['NA']
602381.0,['Digital marketing executive'],"['Bachelor of Arts (B.A.)', 'Bachelor of Education (B.Ed.)']","['English Literature', 'Teaching']"
602369.0,['Graphic designer'],['HSC/12'],['Account and commrece']
602339.0,"['Dance teacher and movement facilitator', 'English-Spanish Translator', 'Singing bowl therapist', 'Dance Performer']","['Undergraduate', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']","['Director of Performing Arts', 'Singing bowls therapist', 'Dancer', 'Movement Researcher', 'Dance performer', 'Ballet and Contemporary Dancer', 'Dancer']"
602322.0,['Freelancer'],['Bachelor of Science (B.Sc)'],['Statistics']
602309.0,['NA'],['Bachelor of Engineering (B.E.)'],['Fashion']
602306.0,['NA'],"['Bachelor of Business Management (B.B.M)', 'Diploma']","['Financial Management', 'Fashion Design']"
602305.0,"['Manager Sales', 'Head of Research', 'General Manager']",['Bachelor - Other'],['Literature']
602303.0,['Audit Manager'],['Postgraduate'],['Finance']
602282.0,['NA'],['Postgraduate'],['Biology']
602280.0,['NA'],['Bachelor of Commerce (B.Com)'],['Commerce']
602274.0,"['Associate Consultant', 'Article Assistant', 'Article Assistant']","['Other', 'Bachelor of Commerce (B.Com)', 'HSC/12', 'SSLC/10']",['Chartered Accountant']
602225.0,['HR and purchase executive'],['Bachelor of Business Administration (B.B.A.)'],['HR']
602148.0,['NA'],['HSC/12'],['NA']
602059.0,['Secretaries'],['Bachelor of Business Management (B.B.M)'],['NA']
602022.0,"['Development Engineer', 'Software developer']","['Bachelor of Engineering (B.E.)', 'Master of Science (M.Sc)']","['Electrical & Electronics', 'Audio Technology']"
602014.0,['Owner'],['Ph.D'],['Science and mathematics']
601893.0,['NA'],['NA'],['NA']
601860.0,['NA'],['Bachelor of Commerce (B.Com)'],['NA']
601805.0,"['Desktop Support Engineer', 'System Engineer', 'Asst Processing Officer']",['Bachelor of Science (B.Sc)'],['Computer Science']
601699.0,['Recruiter'],['Bachelor of Business Administration (B.B.A.)'],['Marketing']
601661.0,['Legal Associate'],['Master of Law (M.L. / LLM)'],['Corporate and Commercial Law']
601653.0,['NA'],"['Bachelor of Science (B.Sc)', 'Master of Science (M.Sc)']","['Agriculture', 'Agronomy']"
601599.0,"['Application engineer', 'Design engineer']",['Bachelor of Engineering (B.E.)'],['Electronics and communication']
601537.0,['Physics Teacher'],['Bachelor of Science (B.Sc)'],['Physics']
601533.0,['Proprietor'],['Bachelor - Other'],['COST AND WORKS ACCOUNTING']
601470.0,['Social Media Analysts'],['Bachelor of Technology (B.Tech)'],['Computer Science Engineering']
601439.0,"['CEO and gastroenterologist', 'Chief of gastroenterology service', 'Internal medicine doctor', 'General medicine doctor', 'General medicine doctor']","['Bachelor of Medicine and Bachelor of Surgery (M.B.B.S.)', 'Postgraduate', 'Postgraduate', 'Postgraduate', 'Postgraduate', 'Postgraduate']","['Doctor and surgeon', 'Internal Medicine', 'Gastroenterology', 'Epidemiology', 'Psychoanalysis', 'Business Management']"
601391.0,['Associate'],['Other'],['NA']
601335.0,['NA'],['Bachelor of Arts (B.A.)'],['English honours']
601302.0,['Yoga instructor'],['Diploma'],['Yoga']
601233.0,['Associate Data Manager'],['Bachelor of Pharmacy (B. Pharma)'],['Pharmacy']
601110.0,['Customer Support Executive'],['Bachelor of Technology (B.Tech)'],['Mechanical Engineering']
601051.0,"['Software Engineer', 'System Administrator']",['Diploma'],['Computer science']
600984.0,"['Lead Software Engineer', 'Software Engineer', 'Programmer Analyst']",['Bachelor of Engineering (B.E.)'],['Computer Engineering']
600955.0,"['Logistics Assistant', 'Logistics Assistant']",['NA'],['NA']
600777.0,"['Art teacher', 'Information Analyst']","['Bachelor of Computer Application (B.C.A.)', 'Bachelor of Computer Application (B.C.A.)']","['Computer Applications', 'Computer Applications']"
600715.0,"['class teacher', 'Farmer', 'Compounder']",['HSC/12'],['Farming and teaching']
600711.0,['NA'],['Bachelor of Arts (B.A.)'],['business economics']
600662.0,['Reatainer'],['Bachelor of Arts (B.A.)'],['Arts']
600602.0,['NA'],['Bachelor of Arts (B.A.)'],['NA']
600477.0,"['CS Management Intern', 'CS Management Intern']","['Bachelor of Commerce (B.Com)', 'Other']",['NA']
600416.0,['Structural draftman'],['Master of Technology (M.Tech)'],['Structural engineering']
600380.0,['NA'],['Bachelor of Arts (B.A.)'],['NA']
600364.0,['NA'],['Bachelor of Commerce (B.Com)'],['Auditing']
600235.0,"['Software engineer', 'Software developer', 'Software developer', 'Software tester']",['Bachelor of Engineering (B.E.)'],['Telecommunication engineer']
600165.0,['NA'],['Master of Pharmacy (M. Pharma)'],['Pharmaceutics']
600030.0,"['Jr developer', 'Software developer and engineer']",['Bachelor of Technology (B.Tech)'],['NA']
599910.0,['NA'],"['Master of Commerce (M.Com)', 'Bachelor of Commerce (B.Com)', 'HSC/12', 'SSLC/10']","['Management', 'Management', 'Commerce']"
599784.0,"['Co - founder', 'Assistant designer', '3rd assistant director', 'Female actor, character actor']","['SSLC/10', 'Diploma', 'Other']","['NA', 'Mushroom cultivation']"
599730.0,['Cinematographer'],['Bachelor - Other'],['Mass media']
599518.0,['NA'],['Bachelor of Ayurvedic Medicine & Surgery (B.A.M.S)'],['ECONOMICS']
599255.0,"['Enterprise Support Enginner', 'Tech Support Enginner', 'Tech Support Enginner']",['Bachelor of Engineering (B.E.)'],['Electronics and Communication']
599147.0,"['Co-navigator', 'Co-navigator']",['Diploma'],['Marine']
599146.0,['IT recruiter'],['Bachelor of Commerce (B.Com)'],['Trading business']
599028.0,['Asst manager'],['Bachelor of Engineering (B.E.)'],['NA']
598877.0,"['sense proof reader', 'freelancer', 'Senior Copy Editor', 'Content Writer']","['Master - Other', 'Bachelor of Engineering (B.E.)']","['Communication Systems', 'Electronics and Communication']"
598645.0,['NA'],['SSLC/10'],['NA']
598535.0,"['teacher', 'pharmacist', 'teacher']","['Master of Pharmacy (M. Pharma)', 'Ph.D']","['pharmacist', 'Doctor of Public Administration Sciences']"
598352.0,['NA'],['Bachelor of Arts (B.A.)'],"['Economy, geography, sociology']"
598177.0,"['Manager', 'Senior Programmer']",['Bachelor of Engineering (B.E.)'],['EEE']
598176.0,"['Senior Software Engineer', 'Lead Engineer', 'Software Engineer']","['Bachelor of Technology (B.Tech)', 'Master of Science (M.Sc)']","['Aerospace Engineering', 'Aeronautics and Astronautics Engineering']"
598082.0,['Product Owner'],['Master of Technology (M.Tech)'],['NA']
598079.0,['NA'],"['SSLC/10', 'SSLC/10']",['NA']
598031.0,"['Sr. Validation Engineer', 'Sr. Multibody Dynamics Engineer', 'CAE Simulation Engineer', 'Vehicle Dynamics Engineer', 'Part time Job - Caller']","['Bachelor of Engineering (B.E.)', 'Master of Engineering (M.E.)']","['Mechanical Engineering', 'Automotive Engineering/Systems Engineering']"
598013.0,"['Teacher', 'Internship']",['Bachelor of Business Administration (B.B.A.)'],['Marketing']
597930.0,['NA'],['NA'],['NA']
